Group,iMOs,iMOp,iAId,iACAd,iPL,iORBm,iORBvl,iOB,cMOs,cMOp,cAId,cACAd,cPL,cORBm,cORBvl,cOB,iACA,iM,iSSp,iGU,iCLA,iEPd,iPIR,iOT,iSI,iACB,iCP,iLS,iMS,cACA,cM,cSSp,cGU,cCLA,cEPd,cPIR,cOT,cSI,cACB,cCP,cLS,cMS,iRSP,iSSp-b,iSSs,iVISC,iAIp,iEP,iBMA,iCEA,iBLAa,iHipp,iLD,iMD,iVM,iVL,iTC,cRSP,cSSp-b,cSSs,cVISC,cAIp,cEP,cBMA,cCEA,cBLAa,cHipp,cLD,cMD,cVM,cVL,cTC,iVIS,iAUD,iTEa,iECT,iPERI,iENTl,iBLAp,iCOA,iPT,iPAG,iDpM,iCT,iVTA,iSN,iSUM,iMM,cVIS,cAUD,cTEa,cECT,cPERI,cENTl,cBLAp,cCOA,cPT,cPAG,cDpM,cCT,cVTA,cSN,cSUM,cMM,iVISp,iENT,iPS,iSC,iMRN,iPRN,cVISp,cENT,cPS,cSC,cMRN,cPRN
DPBS,1.69196,0.2179445,0.6479085,1.17018,0.8748685,0.13055115,0.1178442,0.0176441,0.3498575,0.10320335,0.6135185,0.3204635,0.2239281,0.0096216,0.0737738,0.0129217,0.0810896,0.260256,0.03816815,0.232367,0.0318517,0.0616647,0.015692803,0.08018835,0.02696165,0.02270425,0.101498775,0.007214485,0.006294925,0.0602128,0.0525958,0.03062985,0.480769,0.11348455,0.04214595,0.02210056,0.0374383,0.0380246,0.01105009,0.01428525,0.000726174,0.004449337,0.020714237,0.0651186,0.3375755,0.2355385,0.1702075,0.10516635,0.05925625,0.01469285,0.7481155,0.006298533,0.000219947,0.001688684,0.000675835,0.000691513,5.55615E-05,0.004833263,0.008657635,0.0607273,0.1187019,0.2596495,0.01854095,0.0297646,0.01628055,0.3448475,0.003111236,0,0.001959947,0,0.00025693,2.01877E-05,0.024345075,0.0239797,0.1699025,0.139696,0.1056721,0.10586795,0.03570015,0.00704176,0,8.33983E-05,0.000095,0.000206584,0.0462774,0.077698,0.001008165,0,0.000215603,5.13955E-05,0.0052562,0.0317601,0.04101175,0.009646025,0,0,0,0.000110035,4.39657E-05,2.23645E-05,0.00079924,3.53289E-05,0.000351676,0.000711535,0.031573,0.0292975,0.00043274,2.77322E-05,0.005931697,8.04875E-05,0.002313599,0.005879189,0,0,0.000108741,0.001757518
DPBS,0.8988675,0.273645,0.316695,0.16328,0.1907015,0.03804405,0.0744013,0.00617942,0.1354558,0.0196514,0.1754935,0.1174632,0.03835585,0.01301095,0.03411945,0.004718595,0.04030185,0.244425,0.0359825,0.388191,0.1197207,0.0418225,0.005698984,0.02597925,0.0318631,0.01226138,0.037815953,0.003874545,0.001759911,0.01048384,0.05402955,0.04292215,0.2883325,0.01583315,0.0307951,0.005242955,0.0188633,0.01379615,0.00615868,0.00480546,0.00152977,0.00406072,0.01328749,0.02590215,0.050990062,0.06189707,0.03111682,0.002701775,0.00094849,0.01265394,0.03546825,0.002891768,0,0.00195221,0,0.0005581,2.60928E-05,0.002741923,0.007663405,0.07623115,0.170717,0.0369943,0.00895995,0.000964488,0.000839002,0.07917305,0.002780531,0,0.00009575,0,0,0,0.01994135,0.00996893,0.05560235,0.1328845,0.0638855,0.0370533,0.0077084,0,0.000068679,0,0.000484686,2.84899E-05,0.0389361,0.07641675,0,0,0.00195567,0.002378335,0.0558261,0.023146955,0.0154849,0.03429195,0.000740985,0.001887496,0,0.000026905,0,0,0,0,0,0,0.02109246,0.02040565,0.001346946,0,0.00337705,0.00077021,0.011485345,0.00181403,0.001010498,0,0.000086275,0
DPBS,3.133105,0.26546,0.5831835,1.256765,0.305678,0.02495775,0.1910215,0.00589563,0.683183,0.183349,0.6655115,1.989205,0.488819,0.03060345,0.17258,0.012203695,0.0736008,0.266243,0.01201335,0.2057145,0.0607556,0.022722625,0.031372548,0.0344721,0.0465041,0.01188105,0.048593425,0.000185659,0.000262783,0.0113784,0.036332,0.00603809,0.13242525,0.0241076,0.011473885,0.005185122,0.01616435,0.02626495,0.00617167,0.005774318,0.000303972,0,0.036259483,0.0396148,0.15039685,0.143725,0.1103248,0.06521985,0.00714024,0.0300195,2.006802,0.000257957,0,0.00552313,0.000324007,0.000124216,0.000225309,0.004661053,0.004590225,0.01829825,0.195371,0.194681,0.0652959,0.01048385,0.00598671,0.6535855,2.43657E-05,0,0.001992764,0,0,0,0.0254273,0.0443256,0.11169495,0.256805,0.05219885,0.05364495,0.3073985,0.01644304,0,0.000248775,0.003311406,0.000276562,0.06365655,0.0917105,0.003254572,0,0.005425085,0.01682305,0.1255708,0.2284695,0.14842355,0.05871995,0.00233966,0.000893431,0.000240882,0,5.39339E-05,0.000265255,0.0061777,0,0.00054462,0,0.005977505,0.006611235,6.98355E-05,0,0.004382356,0.003301392,0.004355159,0.002687159,0,0,0.000179238,4.83235E-05
DPBS,0.9589385,0.276569,0.862636,1.20389,0.636616,0.09714475,0.14953685,0.01698385,0.2819235,0.2757415,0.688308,1.3668025,0.3345735,0.04601055,0.1140899,0.012257885,0.0432844,0.1266663,0.009388715,0.01990653,0.00429865,0.000656368,0.04700953,0.0492321,0.0239844,0.005915165,0.03616025,3.72314E-05,0.006017415,0.01266141,0.02236685,0.007968675,0.2973585,0.034916,0.005942235,0.006925003,0.01290936,0.03077345,0.00436996,0.0087894,0,0.00216524,0.022102077,0.08800155,0.2449925,0.235485,0.247822,0.0509508,0.1147565,0.0572272,0.6234565,0.000488835,0,0.010043215,0.001639168,0.001296098,0.001823377,0.005979386,0.01681429,0.07563455,0.3335385,0.3891005,0.00626436,0.00396421,0.01038814,0.142021,0.000146623,0,0.001192928,0,0.000560468,0,0.02185665,0.087205542,0.2471398,0.16396045,0.27588375,0.11955625,0.1586664,0.02035925,0,0.003683605,0.001002825,7.16025E-05,0.21518005,0.12504315,0,0,0.003098985,0.000515798,0.0676349,0.08547775,0.270148,0.11799205,0.02188584,0.00446428,0,0.000055059,0,0.000515925,0.000065995,0,0,0,0.011471465,0.01291785,0.00253671,2.66526E-05,0.0045958,0.003382916,0.004543765,0.002932328,0.00053395,8.07563E-05,6.90956E-05,4.73121E-05
DPBS,0.706883,0.104669,0.188813,0.9199165,0.2967535,0.02825,0.106125,0.00251,0.1086575,0.0259,0.1645775,0.4293925,0.1779895,0.02755,0.0704,0.0026235,0.07147745,0.1143527,0.03338385,0.243119,0.025441515,0.005870595,0.00492235,0.0256236,0.012118365,0.0236769,0.070612875,0.011502755,0.000431921,0.02476495,0.0561911,0.08456845,0.4568365,0.00900227,0.0014711,0.004337988,0.00286583,0.00566037,0.005662115,0.021925475,4.93525E-05,0,0.0156215,0.003205,0.005087,0.014372,0.0385591,0.0134762,0.01670835,0.03127125,0.371259,0.007153993,0.00019079,0.006983169,0.000279406,0.00090156,8.00925E-05,0.00355296,0.01771382,0.0601461,0.21296,0.203855,0.036366427,0.005632595,0.0070297,0.7230745,0.002306134,0,0.007007852,0,0,0.000074,0.0644537,0.07394835,0.1129462,0.1960975,0.3930565,0.16012,0.05456915,0.00658412,0,0.00046253,0,0.000323773,0.0424656,0.234553,0.01210607,0.00011,0.0108424,0.0446833,0.12398005,0.221167,0.0584382,0.0497391,0.01054445,0.002923795,0,0,0,0,0.00102,0,0.000209711,0,0.086353,0.055,0.002031,0.0002585,0.0021605,0.002218,0.0238,0.002895,0.0016785,0.000192,0.0006555,0.00121
DPBS,1.715635,0.047915,0.323768,2.33384,0.3482665,0.04925,0.21375,0.003245,0.318848,0.03685,0.275188,0.562396,0.1295905,0.0093105,0.0909095,0.00591,0.2421385,0.465661,0.07889835,0.783035,0.461905,0.09538505,0.07032233,0.29472,0.1197233,0.1078319,0.1902682,0.00509264,0.000871765,0.02898015,0.0680573,0.03040425,0.5035085,0.04241005,0.0135166,0.011493028,0.07029165,0.03510685,0.0257448,0.022416693,7.26675E-05,0,0.01835135,0.05006515,0.2179385,0.2458705,0.202826,0.06628765,0.08722235,0.05748725,0.668279,0.005013869,0.001042815,0.001744003,0.00170059,0.000324231,0.00191027,0.002452233,0.005064858,0.02770655,0.204998,0.02406565,0.03078285,0.022755,0.001728575,0.1675035,0.00112644,0,0.000273846,0.000379915,0.000837092,0.000485492,0.0457,0.06675,0.2604515,0.348764,0.19771,0.129783,0.4642945,0.06865,0,0.0003315,0.001145,0.000603,0.0158,0.212442,0.001265,0.000442,0.00514,0.00909,0.0979415,0.385593,0.330762,0.100259,0.004735,0.011495,0,0.0001105,0,0,0.000158,0,0,0.0002205,0.131266,0.0429973,0.00130104,3.55535E-05,0.000242265,0.000253216,0.0314776,0.01915075,0.000359874,0.000164,0,0.000303882
DPBS,3.45595,0.1186575,0.250262,4.707375,0.8834365,0.3940865,1.72551,0.00877985,0.733207,0.04426545,0.2220425,2.08488,0.70332,0.04660275,0.3698065,0.0237529,1.42134,0.8743205,0.05105,0.469488,0.3519005,0.213232,0.052943333,0.0595,0.0515,0.06165,0.58684,0.001186,0,0.141514,0.100254,0.0742,0.713618,0.1297975,0.02415,0.026536667,0.0601,0.02885,0.03085,0.057275,0.000087,0,0.084107607,0.083252,0.0775,0.152481,0.2375065,0.0662,0.0216,0.0465,2.21306,0.001475,0.0007895,0.012515,0.001099,0.000976,0.003575,0.024391667,0.01125,0.0668,0.273842,0.566277,0.1623605,0.0338,0.0265,1.974925,0.00202725,0.001975,0.0040184,0.000021,0.0002235,0.00064425,0.0930155,0.041,0.346897,0.3554685,0.2255975,0.1756605,0.5695455,0.1123345,0,0.000260999,0.0000555,0.000149,0.0765,0.438263,0.003035,0.00023,0.0516,0.04415,0.0651,0.2517555,0.17613,0.1160175,0.007705,0.002645,0,0.0000275,0.000053,0.000605,0.0077475,0.00118,0.0002685,0,0.177544,0.06726635,0.00801713,0.000167479,0.000314277,0.000601768,0.0983415,0.012195,0.001375,0.0000655,0.000415,0.002635
DPBS,1.855,0.1746295,0.3481275,0.976549,0.1166681,0.01954417,0.0933136,0.002132885,0.5098895,0.1138449,0.3801185,0.6971065,0.220218,0.0201459,0.08528105,0.000612788,0.02107035,0.518571,0.0955616,0.4112375,0.0565225,0.008803625,0.01220309,0.05155275,0.0187579,0.01423181,0.10879425,0.001359435,0.000875207,0.011449275,0.0704548,0.01614885,0.292778,0.0428058,0.0273532,0.014695372,0.011622275,0.01595335,0.009947905,0.019124425,3.96935E-05,0,0.040680667,0.183938,0.684369,0.921116,0.363758,0.03465,0.096536,0.01885,1.208158,0.003695,0,0,0.003015,0.00231,0.0011325,0.011653333,0.03035,0.283669,0.714066,0.5206995,0.03265,0.00414,0.001265,0.1556655,0.004155,0,0.00168,0.001465,0.00176,0.000182,0.01747,0.023,0.0259,0.1837685,0.071134,0.0338,0.013599,0.003065,0,0.00022025,0.0003925,0.0000995,0.05825,0.1182925,0.01425,0,0.0068,0.0162,0.0611,0.268235,0.42782,0.152816,0.04415,0.0112,0,0,0,0,0.000061,0.00125,0.00615,0.000124,0.1428285,0.06165,0.0018595,0.0000665,0.008305,0.002063,0.0276,0.0475,0.00045,0,0,0.0003455
CBE,1.2477945,0.2689095,0.521813,1.183955,0.4821115,0.0850258,0.150241,0.02383085,0.354517,0.0634251,0.405868,0.602282,0.218835,0.05535925,0.09740915,0.00286849,0.1240839,0.303503,0.0358509,0.1872655,0.01743523,0.040184,0.079651017,0.1004886,0.02058775,0.0233032,0.1753794,0.000334387,0.001716186,0.0183216,0.02377195,0.00288107,0.1015773,0.025659835,0.006015,0.00532793,0.0193535,0.006715835,0.010091565,0.019215255,0,0.00071693,0.008837125,0.0533233,0.146035,0.1900615,0.09669815,0.0443239,0.0699478,0.02121845,1.165597,0.00042686,0,0.006658675,0.0004869,0.000301801,0.001154759,0.00216826,0.002359155,0.0038144,0.0718171,0.0738952,0.00885655,0.009446675,0.00391112,0.1433905,4.47828E-06,0,0.004885958,0,0.0009892,0.000181733,0.0173557,0.03717965,0.21189145,0.2837995,0.2831555,0.243039,0.325739,0.0467363,0,5.50555E-05,0.000251257,0.000521278,0.10087705,0.12788005,0.00131025,0,0.00231408,0.010251598,0.08912045,0.242696,0.13328875,0.05610665,0.001405175,0.002624948,0,0.000215331,2.56464E-05,2.75963E-05,0.000863881,0,0,0,0.01866735,0.0219747,0.000625539,0,0.00350745,0.000148366,0.000786256,0.001291222,0,2.52253E-05,0.000056186,7.19565E-05
CBE,2.09146,0.302353,0.266174,0.2631555,0.0994675,0.01985175,0.10124585,0.0178478,0.71497,0.1920305,0.308157,2.719405,0.9591945,0.1244037,0.2671975,0.01406498,0.04510745,0.4129555,0.0679487,0.3468585,0.0270543,0.0242969,0.015684963,0.02127615,0.009198505,0.01137211,0.08453105,0.000605949,5.40455E-05,0.0186538,0.0401222,0.01442539,0.133471,0.03034355,0.00622557,0.003467768,0.00411513,0.01235062,0.006313145,0.01526065,3.67438E-05,0.000633685,0.039304142,0.0721706,0.2465475,0.178512,0.1653695,0.04803445,0.00696914,0.03133695,1.580645,5.94925E-05,0.000198834,0.00271803,0.00061092,0.000139881,0.004268587,0.016350363,0.0135927,0.05499195,0.122759,0.1174635,0.03405095,0.0282453,0.00367036,0.1305195,7.67713E-05,0.00013303,0.000636486,0,0,0,0.04179495,0.0197375,0.07065365,0.14040555,0.1479355,0.10835,0.006663335,0,0,0.000477359,0.000487091,2.39706E-05,0.03978945,0.109607,0.000518635,0,0.007677795,0.004536355,0.0165754,0.08133965,0.1566735,0.06512965,0.000903643,0.000079974,0,0,0.00010956,0,0,0,0,0,0.01351834,0.02940195,0.000594709,0.000121772,0,0.000163326,0.004054403,0.001147045,0,0,2.11782E-05,0.000181731
